int                              | 23                               | TK_INT                           | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinition>                | No              | <primitiveDatatype>             
:                                | 23                               | TK_COLON                         | NaN                              | <fieldDefinition>                | Yes             | ------                          
chemistry                        | 23                               | TK_FIELDID                       | NaN                              | <fieldDefinition>                | Yes             | ------                          
;                                | 23                               | TK_SEM                           | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinitions>               | No              | <moreFields>                    
------                           | -1                               | eps                              | NaN                              | <moreFields>                     | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <moreFields>                     | No              | <moreFields>                    
endrecord                        | 24                               | TK_ENDRECORD                     | NaN                              | <typeDefinition>                 | Yes             | ------                          
;                                | 24                               | TK_SEM                           | NaN                              | <typeDefinition>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <typeDefinitions>               
record                           | 26                               | TK_RECORD                        | NaN                              | <typeDefinition>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <typeDefinitions>                | No              | <typeDefinition>                
#mark                            | 26                               | TK_RECORDID                      | NaN                              | <typeDefinition>                 | Yes             | ------                          
type                             | 27                               | TK_TYPE                          | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinitions>               | No              | <fieldDefinition>               
real                             | 27                               | TK_REAL                          | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinition>                | No              | <primitiveDatatype>             
:                                | 27                               | TK_COLON                         | NaN                              | <fieldDefinition>                | Yes             | ------                          
maths                            | 27                               | TK_FIELDID                       | NaN                              | <fieldDefinition>                | Yes             | ------                          
;                                | 27                               | TK_SEM                           | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <typeDefinition>                 | No              | <fieldDefinitions>              
type                             | 28                               | TK_TYPE                          | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinitions>               | No              | <fieldDefinition>               
real                             | 28                               | TK_REAL                          | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinition>                | No              | <primitiveDatatype>             
:                                | 28                               | TK_COLON                         | NaN                              | <fieldDefinition>                | Yes             | ------                          
physics                          | 28                               | TK_FIELDID                       | NaN                              | <fieldDefinition>                | Yes             | ------                          
;                                | 28                               | TK_SEM                           | NaN                              | <fieldDefinition>                | Yes             | ------                          
type                             | 29                               | TK_TYPE                          | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <moreFields>                     | No              | <fieldDefinition>               
real                             | 29                               | TK_REAL                          | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinition>                | No              | <primitiveDatatype>             
:                                | 29                               | TK_COLON                         | NaN                              | <fieldDefinition>                | Yes             | ------                          
chemistry                        | 29                               | TK_FIELDID                       | NaN                              | <fieldDefinition>                | Yes             | ------                          
;                                | 29                               | TK_SEM                           | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinitions>               | No              | <moreFields>                    
------                           | -1                               | eps                              | NaN                              | <moreFields>                     | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <moreFields>                     | No              | <moreFields>                    
endrecord                        | 30                               | TK_ENDRECORD                     | NaN                              | <typeDefinition>                 | Yes             | ------                          
;                                | 30                               | TK_SEM                           | NaN                              | <typeDefinition>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <typeDefinitions>                | No              | <typeDefinitions>               
------                           | -1                               | eps                              | NaN                              | <typeDefinitions>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <typeDefinitions>                | No              | <typeDefinitions>               
------                           | -1                               | ------                           | NaN                              | <mainFunction>                   | No              | <stmts>                         
type                             | 34                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declaration>                   
record                           | 34                               | TK_RECORD                        | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <constructedDatatype>           
#marks                           | 34                               | TK_RECORDID                      | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
:                                | 34                               | TK_COLON                         | NaN                              | <declaration>                    | Yes             | ------                          
d4                               | 34                               | TK_ID                            | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <global_or_not>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
;                                | 34                               | TK_SEM                           | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <declarations>                  
type                             | 37                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declaration>                   
int                              | 37                               | TK_INT                           | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
:                                | 37                               | TK_COLON                         | NaN                              | <declaration>                    | Yes             | ------                          
b5                               | 37                               | TK_ID                            | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <global_or_not>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
;                                | 37                               | TK_SEM                           | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declarations>                  
type                             | 38                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declaration>                   
int                              | 38                               | TK_INT                           | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
:                                | 38                               | TK_COLON                         | NaN                              | <declaration>                    | Yes             | ------                          
d5cb34567                        | 38                               | TK_ID                            | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <global_or_not>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
;                                | 38                               | TK_SEM                           | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declarations>                  
type                             | 39                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declaration>                   
