------                           | -1                               | ------                           | NaN                              | <parameter_list>                 | No              | <remaining_list>                
]                                | 18                               | TK_SQR                           | NaN                              | <output_par>                     | Yes             | ------                          
;                                | 18                               | TK_SEM                           | NaN                              | <function>                       | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <typeDefinitions>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <typeDefinitions>               
------                           | -1                               | ------                           | NaN                              | <function>                       | No              | <stmts>                         
------                           | -1                               | eps                              | NaN                              | <declarations>                   | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <declarations>                  
read                             | 19                               | TK_READ                          | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <ioStmt>                        
(                                | 19                               | TK_OP                            | NaN                              | <ioStmt>                         | Yes             | ------                          
b3c2                             | 19                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | <singleOrRecId>                 
.                                | 19                               | TK_DOT                           | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
maths                            | 19                               | TK_FIELDID                       | NaN                              | <new_24>                         | Yes             | ------                          
)                                | 19                               | TK_CL                            | NaN                              | <ioStmt>                         | Yes             | ------                          
;                                | 19                               | TK_SEM                           | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <otherStmts>                    
read                             | 20                               | TK_READ                          | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <ioStmt>                        
(                                | 20                               | TK_OP                            | NaN                              | <ioStmt>                         | Yes             | ------                          
b3c2                             | 20                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | <singleOrRecId>                 
.                                | 20                               | TK_DOT                           | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
physics                          | 20                               | TK_FIELDID                       | NaN                              | <new_24>                         | Yes             | ------                          
)                                | 20                               | TK_CL                            | NaN                              | <ioStmt>                         | Yes             | ------                          
;                                | 20                               | TK_SEM                           | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <otherStmts>                    
read                             | 21                               | TK_READ                          | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmt>                           | No              | <ioStmt>                        
(                                | 21                               | TK_OP                            | NaN                              | <ioStmt>                         | Yes             | ------                          
b3c2                             | 21                               | TK_ID                            | NaN                              | <singleOrRecId>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <ioStmt>                         | No              | <singleOrRecId>                 
.                                | 21                               | TK_DOT                           | NaN                              | <new_24>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <singleOrRecId>                  | No              | <new_24>                        
chemistry                        | 21                               | TK_FIELDID                       | NaN                              | <new_24>                         | Yes             | ------                          
)                                | 21                               | TK_CL                            | NaN                              | <ioStmt>                         | Yes             | ------                          
;                                | 21                               | TK_SEM                           | NaN                              | <ioStmt>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <stmt>                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <otherStmts>                    
------                           | -1                               | eps                              | NaN                              | <otherStmts>                     | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherStmts>                     | No              | <otherStmts>                    
return                           | 22                               | TK_RETURN                        | NaN                              | <returnStmt>                     | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <returnStmt>                    
[                                | 22                               | TK_SQL                           | NaN                              | <optionalReturn>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <returnStmt>                     | No              | <optionalReturn>                
b3c2                             | 22                               | TK_ID                            | NaN                              | <idList>                         | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <optionalReturn>                 | No              | <idList>                        
------                           | -1                               | eps                              | NaN                              | <more_ids>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <idList>                         | No              | <more_ids>                      
]                                | 22                               | TK_SQR                           | NaN                              | <optionalReturn>                 | Yes             | ------                          
;                                | 22                               | TK_SEM                           | NaN                              | <returnStmt>                     | Yes             | ------                          
end                              | 23                               | TK_END                           | NaN                              | <function>                       | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherFunctions>                 | No              | <otherFunctions>                
------                           | -1                               | eps                              | NaN                              | <otherFunctions>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <otherFunctions>                 | No              | <otherFunctions>                
------                           | -1                               | ------                           | NaN                              | ROOT                             | No              | <program>                       
_main                            | 27                               | TK_MAIN                          | NaN                              | <mainFunction>                   | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <program>                        | No              | <mainFunction>                  
record                           | 28                               | TK_RECORD                        | NaN                              | <typeDefinition>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <typeDefinitions>                | No              | <typeDefinition>                
#marks                           | 28                               | TK_RECORDID                      | NaN                              | <typeDefinition>                 | Yes             | ------                          
type                             | 29                               | TK_TYPE                          | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinitions>               | No              | <fieldDefinition>               
real                             | 29                               | TK_REAL                          | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinition>                | No              | <primitiveDatatype>             
:                                | 29                               | TK_COLON                         | NaN                              | <fieldDefinition>                | Yes             | ------                          
maths                            | 29                               | TK_FIELDID                       | NaN                              | <fieldDefinition>                | Yes             | ------                          
;                                | 29                               | TK_SEM                           | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <typeDefinition>                 | No              | <fieldDefinitions>              
type                             | 30                               | TK_TYPE                          | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinitions>               | No              | <fieldDefinition>               
real                             | 30                               | TK_REAL                          | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinition>                | No              | <primitiveDatatype>             
:                                | 30                               | TK_COLON                         | NaN                              | <fieldDefinition>                | Yes             | ------                          
physics                          | 30                               | TK_FIELDID                       | NaN                              | <fieldDefinition>                | Yes             | ------                          
;                                | 30                               | TK_SEM                           | NaN                              | <fieldDefinition>                | Yes             | ------                          
type                             | 31                               | TK_TYPE                          | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <moreFields>                     | No              | <fieldDefinition>               
real                             | 31                               | TK_REAL                          | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinition>                | No              | <primitiveDatatype>             
:                                | 31                               | TK_COLON                         | NaN                              | <fieldDefinition>                | Yes             | ------                          
chemistry                        | 31                               | TK_FIELDID                       | NaN                              | <fieldDefinition>                | Yes             | ------                          
;                                | 31                               | TK_SEM                           | NaN                              | <fieldDefinition>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <fieldDefinitions>               | No              | <moreFields>                    
------                           | -1                               | eps                              | NaN                              | <moreFields>                     | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <moreFields>                     | No              | <moreFields>                    
endrecord                        | 32                               | TK_ENDRECORD                     | NaN                              | <typeDefinition>                 | Yes             | ------                          
;                                | 32                               | TK_SEM                           | NaN                              | <typeDefinition>                 | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <typeDefinitions>               
------                           | -1                               | eps                              | NaN                              | <typeDefinitions>                | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <typeDefinitions>                | No              | <typeDefinitions>               
------                           | -1                               | ------                           | NaN                              | <mainFunction>                   | No              | <stmts>                         
type                             | 35                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declaration>                   
record                           | 35                               | TK_RECORD                        | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <constructedDatatype>           
#marks                           | 35                               | TK_RECORDID                      | NaN                              | <constructedDatatype>            | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
:                                | 35                               | TK_COLON                         | NaN                              | <declaration>                    | Yes             | ------                          
d4                               | 35                               | TK_ID                            | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <global_or_not>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
;                                | 35                               | TK_SEM                           | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <stmts>                          | No              | <declarations>                  
type                             | 38                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declaration>                   
int                              | 38                               | TK_INT                           | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
:                                | 38                               | TK_COLON                         | NaN                              | <declaration>                    | Yes             | ------                          
b5                               | 38                               | TK_ID                            | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <global_or_not>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
;                                | 38                               | TK_SEM                           | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declarations>                  
type                             | 39                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declaration>                   
int                              | 39                               | TK_INT                           | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
:                                | 39                               | TK_COLON                         | NaN                              | <declaration>                    | Yes             | ------                          
d5cb34567                        | 39                               | TK_ID                            | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | eps                              | NaN                              | <global_or_not>                  | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <global_or_not>                 
;                                | 39                               | TK_SEM                           | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declarations>                  
type                             | 40                               | TK_TYPE                          | NaN                              | <declaration>                    | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <declarations>                   | No              | <declaration>                   
real                             | 40                               | TK_REAL                          | NaN                              | <primitiveDatatype>              | Yes             | ------                          
------                           | -1                               | ------                           | NaN                              | <dataType>                       | No              | <primitiveDatatype>             
------                           | -1                               | ------                           | NaN                              | <declaration>                    | No              | <dataType>                      
:                                | 40                               | TK_COLON                         | NaN                              | <declaration>                    | Yes             | ------                          
